"""<strong>ID
</strong>""","""<strong>經節
Verse</strong>""","""<strong>錄音
Audio</strong>""","""<strong>經卷
Book</strong>"""
1TE2NVa5N68J6yotEhDIL6hvKPMhxG7Ad,列王记上第3章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1TE2NVa5N68J6yotEhDIL6hvKPMhxG7Ad/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
19I8uN78gtqVjxVerzZdMbyPiJWMoGaTt,列王记上第2章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/19I8uN78gtqVjxVerzZdMbyPiJWMoGaTt/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1KR2D-XCEE3Pw1hHF_uTeN8QNfeIisYHU,列王记上第1章 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1KR2D-XCEE3Pw1hHF_uTeN8QNfeIisYHU/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",列王记上 Kings 1
1nVB4o9MGrcnVGeRzwPen5UD5PjKVs3MA,以弗所书第6章18-20 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1nVB4o9MGrcnVGeRzwPen5UD5PjKVs3MA/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
1lW14nmLnTUtU2DKUFk4IZiFM-B7_-ZVV,以弗所书第6章21-24 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1lW14nmLnTUtU2DKUFk4IZiFM-B7_-ZVV/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
1ppGIAyiFO2T3UMc1RVHgaogVymE2J3Ng,以弗所书第2章11-22 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1ppGIAyiFO2T3UMc1RVHgaogVymE2J3Ng/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
17qA-dg7CyX8MLqD-bw6moqRBuVGVeS58,以弗所书第6章14-17 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/17qA-dg7CyX8MLqD-bw6moqRBuVGVeS58/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
1Iug5VLQe-TD2bnHOylgLM49M-gWeCwmY,以弗所书第6章10-13 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1Iug5VLQe-TD2bnHOylgLM49M-gWeCwmY/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
1Uh3P8GEIzTL-hZO5RKa-vkgS2UY3CH-3,以弗所书第6章1-9 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1Uh3P8GEIzTL-hZO5RKa-vkgS2UY3CH-3/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
1ntxM1Smd1VPXSe6xhzJRKXrFPvivCFkq,以弗所书第5章22-33 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1ntxM1Smd1VPXSe6xhzJRKXrFPvivCFkq/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
1SJunJt8rVT6xKbBvS3uiiN-nzHSHN-SR,以弗所书第5章15-21 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1SJunJt8rVT6xKbBvS3uiiN-nzHSHN-SR/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
1ri4_7RyLVK0A3ZdmKC0HUAVwo5oY3pqV,以弗所书第5章7-14 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1ri4_7RyLVK0A3ZdmKC0HUAVwo5oY3pqV/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
14s1rhgA8xYvCUr0O3Nu8yL_Kc1B8RYDn,以弗所书第5章1-6- 预查笔记.docx,"<a href=""https://docs.google.com/document/d/14s1rhgA8xYvCUr0O3Nu8yL_Kc1B8RYDn/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
13SdmJQfKOIwxZO8Y5WJklr0dzFWWFY-e,以弗所书第4章25-32- 预查笔记.docx,"<a href=""https://docs.google.com/document/d/13SdmJQfKOIwxZO8Y5WJklr0dzFWWFY-e/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
1LPVTaESDlImpxKa-ic5svtmzVzysncrk,以弗所书第4章17-24 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/1LPVTaESDlImpxKa-ic5svtmzVzysncrk/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
12_ZJfrHMiB45l0USioWlYudvYkyBi_4a,以弗所书第4章7-16 - 预查笔记.docx,"<a href=""https://docs.google.com/document/d/12_ZJfrHMiB45l0USioWlYudvYkyBi_4a/edit?usp=drivesdk&ouid=108586466636183965843&rtpof=true&sd=true"">GoogleDrive</a>",以弗所书 Ephesians
